SETA870101AAA|1|013|J|1|2007|1|11100000|3
0|10001|SETA870101AAA
0|10021|2007
0|40006|27007
0|10040|013
0|10022|1
0|10020|35
0|10003|D'AMICO
0|10004|TIRELLI
0|10005|ARTURO
0|10007|D'AMICO TIRELLI ARTURO
0|10024|SUR 24
0|10025|45
0|10049|SUR 16
0|10050|PONIENTE 103
0|10027|ACTIPAN
0|10028|SAN ANDRES CHOLULA
0|10029|72817
0|10031|PUEBLA
1|3100105|52227
1|3100305|52227
1|3100505|8787
1|3100605|43440
1|3100705|3927
1|3100805|1946
1|3100905|1981
1|3101005|165
1|3104505|2146
1|3105005|665
1|3105305|88
1|3105405|6711
1|3105505|656
1|3109105|5974
1|3107205|5974
2|3107305|1
3|100105|4545
3|100205|656
3|100305|656
3|100405|56
3|100505|565
3|100605|65
3|100805|0
3|101005|0
4|200405|1
4|200105|CAMM650329C97
4|200705|1450
4|200805|1
4|200905|0000
4|200205|288
5|200405|1
5|200105|ROCP650329C97
5|200705|4909
5|200805|0
5|200905|0001
5|200205|6423
6|200505|6711
6|200605|0
7|300305|B
7|300105|CAMM650329C97
7|300205|8787
8|300505|8787
9|400105|6359
9|400205|1058
9|400305|1692
9|400405|3609
10|2500105|57666
10|2500205|565
10|2500305|6566
10|2500405|50535
11|1700105|0
11|1700305|0
11|1700405|0
11|1700705|0
12|3107605|1
12|3107705|3
12|3107805|1000
12|3108105|10
12|3108205|10
13|3107605|2
13|3107705|1
13|3107805|455
13|3108105|5
13|3108205|45
14|3107605|3
14|3107705|2
14|3107805|4556
14|3108105|656
14|3108205|65
